content,appName
"woii ORG2 IT Apuss Sistem Lelang Orderan Kalian.. Pakai Sistem Pembagian Order seperti Gojek, Grab dan Maxim.. tidak ada GUNANYA SISTEM LELANG DI OJEK ONLINE.. LALU TINJAU KEMBALI PERHITUNGAN JARAK SEBENARNYA JANGAN DRIVER JD TUMBAL TERUS.. MEMANG SETIAP MINGGU/BULAN PIHAK MANAGEMENT TIDAK MENGADAKAN BRIEFING EVALUASI SISTEM DAN TARIF..??? PAYAH..PAYAH..!!!!!",inDrive
"HATI HATI BUAT PENGGUNA APLIKASI INDRIVE INI.. 1 AKUN KALIAN SEBAGAI CUSTOMER SANGAT RENTAN DI MANIPULASI.. 2.DATA PELANGGAN SANGAT MUDAH DI CURI DARI ALAMAT NO PONSEL.. DISAAT ANDA MEMBUAT PERMINTAAN ORDER.. DARI TAMPILAN SDH TERBACA OLEH PARA DRIVER,.. NANTI YG DRIVER YG TIDAK TERPILIH AKAN MENGANDAKAN AKUN KALIAN SEBAGAI PELANGGAN UNTUK ORDER KEMBALI.. LEBIH BAIK CARI AMANYA . SAJA, GUNAKAN APLIKASI YG SDH MENJAMIN MEMILIKI KANTOR RESMI..",inDrive
good,inDrive
istimewa,inDrive
"tidak bisa mendapatkan orderan. tiba"" peforma indriver jadi sangat"" jelek",inDrive
"TOLONG ITU BUAT CS DUKUNGAN ATAS NAMA RAMDAN, SAYA LAGI KOMPLAIN MAIN TUTUP PEMBICARAAN AJA, MASALAH BELUM BERES !!!",inDrive
"Hallo min,tolong sistemnya di perbaiki lagi masa orderan di cancel cs tapi mereka masih boleh memberikan ulasan.Ini sangat merugikan karena sering di salahgunakan oknum² yang tidak bertanggung jawab,yang tujuan nya membuat orderan fiktif.Cukup perjalanan selesai baru boleh memberikan ulasan.Terima kasih",inDrive
makin aneh semenjak update,inDrive
👍👍👍,inDrive
mantap,inDrive
"Bintang 1 dulu, sya gk bsa menjemput penumpang. Cuman bsa ngambil otomatis aja. sudsh komplain melalui email tp gk ada respon. Mohon dperbaiki. Terima kasih",inDrive
kenapa di akun indriver saya gak ada nama motor honda revo sama yamaha X-ride? gak ada nama motor revo fit sama sama yamaha xtride,inDrive
bagus pelayanan nya sangat bagus pengemudinya baik dn ramah,inDrive
melehooyyy,inDrive
"aplikasi sampah!!!! driver yg pembatalan sepihak, malah akun gue yng di blokir!!! wajib di uninstall!!!!!!!!!!!!",inDrive
kenapa masih ada penumpang di ambil sama ojek lain sementara ojek yang di pesan harus membatalkan perjalanan,inDrive
KALO PAKAI KONSEP HARGA NEGO YA HARUSNYA BUKAN MENEGO HARGA DASAR YANG TAMPIL PADA APLIKASI ... HARGA DASAR DARI APLIKASI TIDAK BOLEH LAGI DI NEGO ENTAH ITU PEMESAN PAKE HAPE ANDROID ATUPUN IPHONE,inDrive
"aplikasi paling buruk sedunia , harga si paling murah dan perusak harga sistem si paling banyak gangguan aplikasi 1000 bug , dikit dikit gangguan dikit"" eror ,",inDrive
pertahankan,inDrive
okelah,inDrive
staf pekerja ya buruk saat pengemudi meminta keterangan yg terjadi d lapangan,inDrive
baik,inDrive
ramah,inDrive
ongkos terlalu murah tapi ac harus full,inDrive
oke,inDrive
"knpa ya semenjak update jadi gk dapat lelangan order kalo di tempat rame, padahal jarak driver dengan CS sangat dekat",inDrive
boboiboy,inDrive
baru coba,inDrive
salam satu aspal👍💪💪💪,inDrive
"makin kemari makin sulit orderannya. on dari pagi sampe sore nggak dapat juga. bahkan keliling juga nol hasilnya bakar minyam doang. perbaiki dong sistemnya biar merata jangan tumbang pilih,apa lg pilih kasih. sama"" niat nyari rejeki untuk keluarga.",inDrive
Naik Versi malah susah lelang... kacau dah,inDrive
tolong perbaiki sistemnya buruk. masakan orderan palsu bole kasih nilai buruk ke driver. sangat merugikan driver,inDrive
"masa update dokumen nunggu sampe 48jam!gabisa jalan,padahal akun sudah prioritas",inDrive
Tolong notifikasi orderan otomatisnya saat diterima kerasin dan panjangkan lagi sedikit..,inDrive
aku suka orang'y ramah,inDrive
hp saya Vivo y12 knpa gak bisa install aplikasi indriver padahal sebelumnya aplikasi indriver ada di hp ini,inDrive
good,inDrive
mantap,inDrive
oke,inDrive
baguuss,inDrive
aplikasi nya ok banget recomended,inDrive
nyaman. thanks.,inDrive
Tolong di perbaiki. berapa kali pesan di cancel terus. dapat driver sekali di cancel di tengah jalan. jangan seenaknya dong!,inDrive
"kami sebagai driver dan ubah data kendaraan lebih muda dr sebelum nya tp pihak indrive sistemnya belum update gara² setelah rubah data bukannya lolos malah di tolak sistem gara² foto lampiran berupa scan dari samsat bukan hasil jepretan, pemerintah mengadakan bayar pajak online jd foto pajak berupa scan tp indrive masih kuno krn nolak foto pajak berupa scan dr pemerintah, kalau tau begini maka gak aku rubah data motor baru yg ku ini jd tetap pakai data motor sebelum nya aja",inDrive
Ininga impelid.verifikasi kapan beres nya nih tolong secepat nya kk bisa ga ?,inDrive
tarif tiba2 beda jauh harganya 8.8km hanya 14.000 malah dikira minta pembayaran lebih ketika minta pengertian malah akun driver yang di turunan ratingnya,inDrive
god job👍👍👍👍👍,inDrive
"Tolong hilangkan fitur memberi ulasan kepada orderan yang sudah dibatalkan di aplikasi penumpang, saya sebagai driver sering banget dapet orderan fiktif yang dilakukan oleh driver lain dan saya diberi ulasan negatif atau bintang 1 oleh orderan tersebut yang mengakibatkan rating saya jadi turun",inDrive
"kenapa akun saya tiba"" minta verifikasi ulang? padahal perjalanan saya sudah 20 tiba"" malah minta verifikasi ulang aneh",inDrive
gak ada orderan sama sekali,inDrive
yupz,inDrive
sangat bagus,inDrive
"Aplikasi selalu error, tidak berfungsi secara maksimal,dan itu membuat aplikasi ini terlalu parah",inDrive
ok,inDrive
perbaiki sistem,inDrive
Harga penumpang banyak di edit tolong di perhatikan lagi dari sistem,inDrive
"khusus buat casnamer nih,kalian itu klw ngasih bintang 1234 gak ada otak yah,sama ajah mutus rezeki orang mba/aa,klw ngak suka tegor ajah jngn berani nyah di bintang,yg penting selamat sampai tujuan.kena polisi tidur ajah bintang 3.masa allah",inDrive
tolong di upgrade lagi apk yang baru ini soal nya susah masuk orderan masih bagus apk sebelum nya tolong di prioritaskan,inDrive
Goodlah,inDrive
bagusd,inDrive
ak,inDrive
sangat baik,inDrive
"rata² penumpang indriver tidak punya etika dan tidak berattitude, tidak punya moral sama sekali, tidak punya malu, dan yg pasti banyak yg bermasalah dikarenakan indriver sendiri status nya yg gak jelas akhirnya dimanfaatkan oleh oknum² penumpang yg kebanyakan resek!!",inDrive
Banyak update malah makin ngaco aja duh kacaw...tambh kacaw lagi potongan ny tarif tetap...merugikan driver...katanya indrive ADIL tp se x cs kasih bintang 4 angka turun 7sampai 8...sebaliknya butu 1 cs buat naikin 1 angka rating ...ITU YG NAMANYA ADIL trus knp nama cs di sembunyikan...versi terbaru kacaw ngaco eror terus,inDrive
Ni aplikasi lamalama kebanyakan mitra yang pake mod,inDrive
keren,inDrive
ok,inDrive
tolong di perbaiki aplikasi nya saya pertama udah sampai di titik penjemputan .tapi ga bisa d teken 'saya disini ' kaya nya sering banget kaya gini masa 2 hari berturut² saya mengalami kaya ga bisa di tekan saya d sini.. dan tolong tarif nya d sesuaikan dengan Ojol sebelah selisihnya jangan terlalu rendah 🙏🏻,inDrive
ko lag Mulu ya sekarang mau ambil orderan kalah Mulu karna black screen jadi susah klik,inDrive
sistem sekarang aneh los ga ada lelangan masuk sama sekali udah beberapa hari terakhir mohon di perbaiki sistem nya,inDrive
baik sekali🙏🙏🙏,inDrive
"Cape seharian muter"" ga di kasih 1 orderan pun, ada jarak yg deket gtau susah bgt dapetnya contoh aplikasi lain kalo bisa biar driver yg pilih costumer jngan customer yg pilih"" krn dsni kita yg cari duit yg susah",inDrive
sangat bagus,inDrive
sangat bagus mengendarai dengan aman,inDrive
tolong dong ngeri kali penumpang bisa ngedit harga bisa nurunin sampai jauh harganya. driver belik bensin pakai uang. bukan daun. kalau mau murah buat promo di aplikasi indriver. bukan asik driver aja yg di potongin. ingat kita partner bukan budak Kelen. Kelen siapin sistem. kami siapkn mobil. sm2 GK kecil modal kita. JD pikirkan lah,inDrive
Ok,inDrive
tolong perbaiki mengapa perangkat saya tidak mendukung,inDrive
baik,inDrive
kenapa tidak bisa instal di pixel 2? android 11,inDrive
sangat membantu saat libur kerja,inDrive
customer terkadang tega sekali. sy sudah jalan dan hampir tiba dibatalin. padahal di perjalanan bnyak hal yang menyebabkan kita agak lambat..Krn google maps TDK selama nya benar melihat situasi jalan. mudah mudahan semakin baik... klu dlm kurir sy sering kali TDK bisa menelpon langsung dr aplikasi k penerima atau pengirim. itu mohon bantuan caranya. makasih,inDrive
"recomended,bisa pilih mbl jarak terdekat,harga bisa fleksibel,cara bayar bisa cash atau transfer ,over all great 👍👍👍",inDrive
bagus sangat bermanfaat.,inDrive
bagus,inDrive
"versi terbaru semakin banyak bug & terlalu berat (jadi sering stucked). di app pengemudi, tombol ""saya disini"" sering gagal ditekan pdhl sudah sampai titik penjemputan. di app penumpang, peta & posisi driver sering tidak muncul sehingga orderan kerap di cancel penumpang pdhl pengemudi sdg meluncur ke titik penjemputan",inDrive
top,inDrive
baik,inDrive
bgus xxxxxxxxzx,inDrive
"ketika sudah sampai tujuan sering sekali terkena kendala tombol ' Saya disini ' sering kali saya cancel dan alhasil saya kena pelanggaran , kenapa tidak segera di benarkan ?",inDrive
"ini kenapa saya tidak bisa menekan tombol saya di sini ketika sudah di tempat penjemputan, bahkan sudah dua kali dalam dua orderan terjadi seperti ini",inDrive
murah,inDrive
mantap indriver maju terus semanagat,inDrive
Tolong perbaiki Masa udah sampai titik penjemputan nggak ada bacaan sudah tibanya,inDrive
"Tolong diperbaiki secepatnya bug driver tidak bisa klik tombol ""saya disini"", karena masalah ini saya 4x cancel orderan menjadi offline dalam sehari.",inDrive
aneh ka punya saya stelah di update terima otomatisnya tidak berjalan knapa yah tolong perbaiki,inDrive
tolong min. kalo buat tarif yg realistislah? masa jarak -/+ 15 km kasih ongkosnya hny 9500 ?,inDrive
indrive makin lama makin nyekek...aturan yg bner 14 hari ....gw yg notabene driver indrive ori dari 2018 seminggu sakit..akun langsung anyep parahh,inDrive
ga ada notif ga ada pelanggaran terus langsung di blokir ...ga jelas ...harusnya ada penjelasan pelanggaran apa....perasaan kalo apk sebelah kalo qta ada pelanggaran ada botif pelanggarannya....terus banding lah ini apk gajelas pelanggaran langsung blokir akun aja aneh..udah masuk pusat dukungan tapu ga ada respon..gmana driver mau ngadu kalo ada masalah,inDrive
APK semakin paraaaaaaah !!!!!!!!! seharian gak dikasih order sama sekali,inDrive
mntaf,inDrive
sistem reting yg g jelas !! main sistem reting bintang udah kayak paling kuat. tapi lucu apk masih banyak boot. mod. yg ory selalu kalah.. minus g ada fitur 1 arah. saat penjemputan. harus sesuai lokasi tapi tidak tahu. zona merah.. kan goblognya g bisa di klik. sudah tiba..,inDrive
apk taiiiii rating tiba2 anjlok gk ada angin gk ada ujan busuk,inDrive
aplikasi dongo !!! pake aplikasi ini suruh kirim barang malah hilang tidak ada pengganti ! banned,inDrive
baik,inDrive
bagus,inDrive
Ok,inDrive
"aplikasi ga ramah costumer service yang ga jelas, akun driver saya minta di aktifkan kembali ga bisa padahal udah masa aktif kembalinya setelah di beri waktu 1 minggu tapi ga di aktifkan kembali gimana ini",inDrive
Apk Indriver tidak adil saya sebagai pengemudi merasa kecewa terhadap sistem lelangan autobit maupun cocol biasa tidak ada lelangan masuk kalah dengan pengemudi baru selalu masuk ada orderan,inDrive
siiap,inDrive
ekonomis,inDrive
"indriver memang beda,TOP selalu di hati💚💚💚,terima kasih salam sejahtera😎",inDrive
"hanya aplikasi ini yg gk balikin saldo.. driver cancel order, saldo nya gk dibalikin .. penumpangnya gk ada setelah chating ada tp gak muncul . otomatis di cancel driver saldo gk balik . balikin donk saldo nya .. driver kena punishment saldo gk balik .. penumpang joget.. bisa2 penumpang jahil order fiktip .. tolong jaga baik2 driver anda .. thanks",inDrive
bagus,inDrive
kalau bisa sistem kalau memang dekat dgn pengemudi langsung diberikan kenapa? masakan jarak 100meter dgn pengemudi bisa tidak dapat kita drivernya,inDrive
baik dan sopan,inDrive
"Dear CS In Drive HP saya hilang hari minggu sampai hari rabu ini tidak ada sedikitpun progress update / komunikasi yang dibangun oleh pihak CS In Drive. Yang hilang HP dan tidak memberi update ke customer, sangat mengecewakan dan tidak profesional penanganan tim in drive, tidak ada komitmen.  Saya ingin segera dihubungi dan di call. Saya mau hubungi in drive tp tidak ada aksesnya.",inDrive
"buruk, titik jemput tidak sesuai...tidak sesuai dengan jalur perjalanan",inDrive
kerennn...,inDrive
"aplikasi makin kesini makin gk jelas #ttik penjemputanya di mana ,, orang nya di mana _ di canshel mala saldo draver yg kena mana gede lagi di potong nya ,, dapet duit kaga malah deposit di colong",inDrive
bagus luarbiasa,inDrive
terbaik,inDrive
semoga bisa lebih bisa membantu dan memudahkan masyarakat,inDrive
