content,appName
Woy gmna akun customer yang d blokir knpaa gabisa login akun driver emang tolol apk ini,inDrive
Bagus,inDrive
inDrive is the best. Thx you inDrive.,inDrive
"Kembalikan sistem lelang dulu, sekarang cuma tampil 2 driver di slide awal jadi susah dapet orderan",inDrive
"Tolong di perbaiki, karna setiap dapet orderan tembakan atau orderan fiktif rating atau bintang langsung turun jauh dan tolong hilangkan lelangan karna hanya untuk orderan tembakan aja,, kuatkan autobid. Terima kasih...",inDrive
Ngak guna suka blokir ngak jelas,inDrive
Mantap,inDrive
Mantap Akurat maps ya,inDrive
Bagus,inDrive
"Saldo terpotong ketika pesanan selesai,bukan potong saldo dahulu. Masalahnya ketika penumpang cancel saldo dikembalikan nya memakan waktu!",inDrive
Mantab,inDrive
indriver sangat puas harga pas,inDrive
Pengemudi yg ramah,inDrive
Setelah di update jadi susah dapet orderan penumpang padahal akun sudah prioritas,inDrive
Oke,inDrive
"Aplikasi original ga dapat2 order paling banyak 3 order aja, masih kalah sama yg pake mod dan modul apalagi member, juga ada yg nitik segala,. Hampir 75% banyak yg pake mod dan member, kok bisa ga kedeteksi, gimana ini.. Saya kadang pake ori kedeteksi pakai aplikasi palsu,.. kok ga bisa ke pantau sama pihak indrive.. tolong segera rapihkan apk ini,.. biar semua kebagian order merata,..",inDrive
Ngeri order nya sehari cuma 1 paling banyak 2 ngenes bgt ya 😅,inDrive
banyak pelor,inDrive
"Parah aturannya, customer care juga cuma bisa copy paste tanpa membaca n memahami masalah yg di terima oleh mitranya dapet order kagak, saldo di potong,,,, sama aja kek maling ini aplikasi,,, bangke tarif paling murah, tidak standar kemenhub, Cust Serv juga bisa copas aja, persaingan kotor di mulai dari indrive",inDrive
Mantapp,inDrive
sangat membantu.. harga lebih murah dari ojol yg lain👍,inDrive
mehong ongkosnya,inDrive
sangat membantu,inDrive
baik,inDrive
"terjadi pada 12 pebruari 2025, zona Surabaya, jarak 12km tapi tarifnya cuma 15rb, ini artinya per km nya gak nyampek angka 1500. semoga Allah membalas aplikator ini",inDrive
cept dpt driver yah,inDrive
saya sangat puas,inDrive
Kenapa tidak bisa di download,inDrive
"tarif untuk driver nya sekarang tidak manusiawi, adminnya naik namun ongkos tetap. jadi uang bersih nya kecil sekali. tolong jika ada kenaikan jangan di pihak driver saja tapi dari pihak pelanggan nya juga. terimakasih. kalo sudah sesuai saya naikan lagi rating nya untuk sekarang terlalu parah",inDrive
107-108 udh normal ngapain update2 LG ga jls 109 ngebug ini apknya.....,inDrive
Aplikasi sampah udah di dikirim dokumen verifikasi akun ga kunjung di kembalikan akunnya,inDrive
sulit dapat orderan terus di sisi lain jika ada keluhan soal aplkasi tidak ada kantor nya engak semua bisa sama hp apa lagi orang tua,inDrive
Good,inDrive
"Tolong d tambahin d aplikasi indrive versi 5.109.0 kan d dalam aplikasi indrive ada tawar otomatis, deket tawar otomatis d bawahnya tambahin tawar cepat, Terima kasih?",inDrive
"mohon maaf kali ini ratingi turun dlu karna ini kurang adil bagi para pengemudi dari pagi orderan cuman dapat 1 padahal performa pelayanan ke Customer slalu di berikan yg terbaik. kadang Sdh di lokasi penjemputan di batalain peumpang krna salah pesan yg Roda empat tapi saldo malah kepotong mana potongannya udah naik lagi. orderan kurir kebanyakan di suruh driver dlu yg bayar, gimana cara ambil orderan nya sedangkan kurir baru dapet untung 10rb krna cmn satu penumpang dari pagi blom juga bensin",inDrive
Mungkin untuk titik lokasi mohon diperbaiki kadang tidak sesuai dengan titik penjemputan.. Dan kalau nelpon masih tersendat².,inDrive
"Kembalikan ke sistem 10 lelangan driver, kalo masuk ke Customer cuman 2 driver sangat merugikan banget! Kembalikan seperti sistem sebelum"" nya, yaitu sistem 10 lelangan driver terdekat dari Customer!!! Tolong di ubah kembali!!!",inDrive
GUNANYA AUTOBID APA KLO MASIH TAWAR MENAWARR?,inDrive
nice,inDrive
"Setelah dapat orderan kurir,tidak lagi masuk kedalam lelangan. Ngasih tau ke dukungan malah bloon bukungannya. Kalo ga becus kerja mending ga usah kerja. Disini ada aroma² kesengajaan system amburadul",inDrive
Kalau bisa di bikin sistem tujuan arah pulang doonk seperti aplikasi sebelah dengan radius 2 km order langsung masuk ke drivernya.. 👍,inDrive
membantu prekonomian keluarga,inDrive
"Kepada IT APK INDRIVER tolong aktifkan sistem mode PM pada driver yg pakai mod, jgn takut driver INDRIVER sudah semakin banyak, jadi mari terapkan main bersih dalam mencari orderan di kalangan mitra driver agar adil",inDrive
Sangat Membantu masyarakat dalam Melakukan perjalanan,inDrive
"Slmet Siang.., Aplikasi In Driver..kok masih tetap pakai Sistim yg Ga jelas.., Demi Masa Depan Cerah Indriver saja., sy ber harap spy Program/. Sistim yg sudah ada ini..( sistim lelang tarip yg Ga Jelas.).. di.Bongkar, kemudian di.rubah spt yg biasa/.umum..(.gokar, grab, maxim.).., menu/.fasilitas chat, 📞📲 , On bead, tarif yg normal., di.Tampilkan dlm 1'akun In driver🚙., sy yakin 100%.., In Driver Pasti Segera Maju Pesat dan ngejos...🙏😇👌👍💪😃😲🤠😀😁",inDrive
"Aplikasi cukup bagus ,, Untuk nada dering saat mendapatkan orderan penumpang mohon bisa diperbaiki,, agar kita sebagai driver dapat memilih nada dering sesuai selera kita. Saya sering tidak tahu ada orderan masuk karena bunyi nada dering jelek. Saya juga mohon untuk ongkos driver saat jam malam & kondisi saat hujan supaya dinaikkan. Terima kasih",inDrive
apk sudah bagus.. penumpang bisa melihat driver terdekat.. dan driver juga ada prioritas level nya.. tapi Sayang harga nya masih terlalu murah.. Saya sekelas driver Ibukota Surabaya saja per km nya ada yg masih dibawah 2rb rupiah.. mohon jangan terlalu murah untuk harga sekalipun di edit.. kalaubisa minim 2rb/km itu saja sudah murah.. dengan benefit Indriver yg penjemputan terkenal lebih cepat pasti makin banyak penumpang yang pakai apk ini..,inDrive
"Halo min saya Andi pengemudi Indriver bike, tolong dong min bedain Antra yang udah beli atribut lengkap sama yang belum ,",inDrive
Update Versi 5.109.0 membuat baterai lebih cepat boros,inDrive
Sangat membantu,inDrive
"Aplikasi jelek jarak pengambilan nya jauh² masa ongkos 80rb jarak nya 30km mobil pick up, jangan ada yang mau instal apk ini jelek, lebih baik pada bubar jangan ada yang mau gabung apk apapun",inDrive
"Saya dari driver, tolong pak admin , jangan karena motor saya jelek jadi susaah dapet orderan , menurut saya terlalu rasis ini , motor jelek kami tidak mencerminkan prilaku kami, kami membuat akun ini dengan persyaratan skck dari kepolisian , jadi tolong di bantu pak admin agar adil , jgn hanya motor yang bagus saja yang dapat dengan mudah mendapatkan orderan 🙏😊",inDrive
Good,inDrive
"Kalau mempertemukan dengan pengendara itu jarak yg sesuai. Pengendara jaraknya jauh sekali, kalau di batalkan malah akun di blokir Payah",inDrive
Nice,inDrive
"disini saya sebagai driver,, entah apa dan bagaimana cara indrive menilai mitra nya... dalam 14 hari terakhir akun saya tuh enak enteng masuk lelangan,, bahkan dalam waktu 1 Minggu saya bisa melebihi target perjalanan dengan minim cancel,, tp apa yg di dapat Minggu selanjut nya..?? akun bukan malah tambah enteng tp malah makin berat.. kan aneh ya.. untuk apa jaga performa biar akun kita baik tp kita tidak di perlakukan baik oleh sistem yg ada.",inDrive
"Halo min gimana yang semalam, uang tidak dibayar sama penumpang 81rb udh nunggu berjam2 belum nongol juga orang nya 🙏",inDrive
Hoping more better... TEKOORR MINYAK... Semoga ALLAH SWT memberikan keadilannya. .. AAMIIN,inDrive
mantap,inDrive
good,inDrive
Hallo indriver aku ingin bertanya untuk pendapatan bersih apakah bisa ditarik?,inDrive
aplikasi mantap,inDrive
tarif paling murah,inDrive
baikk,inDrive
Mantaap,inDrive
"setiap mau isi saldonya, makin hari makin susah dan lama. tolong diperbaiki lagi, itu saja 👏🏻",inDrive
"Sudh pake aplikasi 3 bulanan Sejauh ini baru dapat 3x orderan saja Padahal ga pernah nolak orderan Aplikasi aktif 24 jam. Apa karna wajib punya jaket, helm dulu baru banyak orderan",inDrive
Untuk opsi pemilihan kendara saat pendaftaran pengemudi masih kurang terutama pada merek Yamaha jadi tidak bisa melanjutkan pendaftaran,inDrive
membantu sekali harga tidak meguras kantong,inDrive
"APK GAK JELAS GAK ISOK MEMBANTU SAMA SEKALI , DAPAT ORDERAN SELALU DI TOLAK ! SELALU KADALUARSA! HARUSNYA BISA MEMBANTU PEREKONOMIAN, JANGAN BEDAKAN YANG BARU GABUNG DAN ORANG LAMA !!! BERBENAH APA ! BERBENAH TAPI TETAP SAJA TIDAK BISA PROFESIONAL!",inDrive
baik dan gercep,inDrive
bagus,inDrive
semoga tambah sukses buat indrever terus lah berinovasi,inDrive
Setelah pembaruan makin susah dapat orderan..dari admin Indrive saja masa bodoh tidak mau perbaiki aplikasinya.Tolong di perbaiki lagi Takutnya para Driver pindah Ojol lain..,inDrive
Setelah update banyak bugnya orderan jadi lelet dapatnya dan delay lama fitur autobid tidk berfungsi dengan baik,inDrive
jam jemput cepat,inDrive
Dri rating 5.00 ke 496 terasa seperti di kasi bintang 1 oleh penumpang. Padahal itu cuma bintang 4.. bintang 4... turun dari sgt tinggi ke tinggi gara2 bintang 4???? Itu bukan bintang 2 atau 3 atau 1.. astaga,inDrive
pelayanan yang cukup bagus,inDrive
ojek terbaik,inDrive
Kenapa top up lama masuknya,inDrive
"Semenjak update kemarin lelangan menjadi susah ,sebelum update lancar2 ajj tuh , tolong lah maximalkan jangan pandang bulu dengan yang lama atau pun yang baru , lelangan ratain semua",inDrive
Di top up ga nambah saldonya,inDrive
ramah.,inDrive
Gak di download gangu orng main HP dah download sama juga ganggu nye bisa gak sih jgn ganggu,inDrive
Moga gacor,inDrive
"Tolong dong min di perhatikan,sekarang banyak akun penumpang yang bisa ngedit harga jauh di bawah harga standar (NORMAL),ada yang jauh berkilo""meter yang contoh harga standarnya 30ribu,penumpang bisa ngedit harga sampai 20rb,dan harga jarak dekat Normal 10ribu,bisa di edit jadi 8ribu,padahal kalau di cek di akun penumpang pribadi saya,itu tidak bisa sampai harga segitu,ada batasan harga otomatis dari indrive,soalnya sayang banget min,bensin jadi lebih banyak terpakai tapi pendapatan gak sesuai",inDrive
"Tolong untuk pihak aplikator Bila orderan di cancell atau mengancell Itu tidak bisa ngasih rating Karna bnyak driver iri,dengki dll Membuat order fiktif Untuk menghancurkan rezeki orang,itu Sangat merugikan driver yang ingin mencari nafkah di indriver Dan satu lagi nama cs harus ada ketika memberi raring agar bisa saling intropeksi",inDrive
baik orang ya,inDrive
"Di oerbarui bukanya makin waras malah makin bobrok sistemnya, bisa bisanya di online dari pagi ngga ada lelangan masuk sama sekali, sebeneenya lu maunya apa si indrive?? Nyocol orderan iye autobid iye,",inDrive
Bagus mantap,inDrive
mantap,inDrive
"Sama sekali tidak baik semakin menyiksa para driver dan selalu ada masalah dalam aplikasi,,",inDrive
"2 minggu tidak online karena sibuk urus tugas kampus, pas online lagi tidak dapat costumer, padahal online dari pagi sampai malm",inDrive
sangat baik,inDrive
sangat membantu,inDrive
"Maaf tolong, di saat kencel sama cs.ko saldo ke potong..rugi saya",inDrive
Versi terbaru nguras batrai tolong diperbaiki!!,inDrive
sangat praktis,inDrive
perjalanan yang nyaman,inDrive
ok,inDrive
Saya udah pesan driver udah nunggu lama pas dtelpn dia gak mau narik katanya takut ojeg pangkalan kalo memang GK bisa kenapa GK di kabari kepenumpang biar GK nunggu2 . Sampai tiga kali di ulang lagi semua kayak gitu padahal kemarin2 driver nya ok ok aja GK banyak tanya dan GK ada kejadian dikeroyok ojeg,inDrive
bguss rapih nyaman,inDrive
Update malah jd error aplikasi Bug Hp panas,inDrive
semoga bermanfaat,inDrive
